,Dates,Time,Open,High,Low,Close,Volume,Average,BarCount
138,2014-05-23,00:00:00,189.75,190.48,189.58,190.22,541431,190.2,147795
139,2014-05-27,00:00:00,190.54,191.64,190.47,191.53,618295,191.353,162701
140,2014-05-28,00:00:00,191.55,191.98,191.06,191.44,565539,191.496,162927
141,2014-05-29,00:00:00,191.65,192.4,191.33,192.3,567002,191.951,156409
142,2014-05-30,00:00:00,192.17,192.82,192.03,192.78,677799,192.429,163422
143,2014-06-02,00:00:00,192.85,192.99,191.97,192.73,561099,192.668,164191
144,2014-06-03,00:00:00,192.58,192.97,192.2,192.83,501698,192.633,139633
145,2014-06-04,00:00:00,192.77,193.3,192.23,193.17,440426,192.965,133021
146,2014-06-05,00:00:00,193.06,194.65,192.7,194.53,833913,193.914,226524
147,2014-06-06,00:00:00,194.46,195.63,194.45,195.59,704959,195.232,164715
148,2014-06-09,00:00:00,195.41,196.05,195.17,195.54,565791,195.575,148490
149,2014-06-10,00:00:00,195.4,195.75,194.92,195.5,435883,195.344,121149
150,2014-06-11,00:00:00,195.35,195.58,194.48,195.06,517209,194.89,140903
151,2014-06-12,00:00:00,195.11,195.28,193.11,193.49,914052,193.944,211347
152,2014-06-13,00:00:00,193.6,194.32,193.2,194.2,673086,193.941,167192
153,2014-06-16,00:00:00,193.7,194.7,193.53,194.33,626228,194.214,158622
154,2014-06-17,00:00:00,194.75,194.97,193.76,194.75,671001,194.58,164180
155,2014-06-18,00:00:00,194.83,196.37,194.4,196.24,868187,195.336,234590
156,2014-06-19,00:00:00,196.36,196.6,195.8,196.31,685016,196.255,180129
157,2014-06-20,00:00:00,195.51,196.17,195.24,195.97,817950,195.887,172636
158,2014-06-23,00:00:00,195.94,196.07,195.52,195.67,637971,195.824,138681
159,2014-06-24,00:00:00,195.68,196.5,194.48,194.7,890032,195.507,214773
160,2014-06-25,00:00:00,194.8,195.78,194.24,195.42,742194,195.158,191170
161,2014-06-26,00:00:00,195.36,195.73,194.13,195.37,679999,194.901,175971
162,2014-06-27,00:00:00,195.2,195.9,194.76,195.7,617668,195.435,152101
163,2014-06-30,00:00:00,195.7,196.17,195.26,195.97,592714,195.82,150280
164,2014-07-01,00:00:00,196.08,197.63,195.72,197.11,811409,197.019,218024
165,2014-07-02,00:00:00,197.15,197.5,196.94,197.22,480596,197.182,137253
166,2014-07-03,00:00:00,197.38,198.29,197.14,198.05,458140,197.984,114650
167,2014-07-07,00:00:00,197.95,198.25,197.22,197.5,563858,197.547,147130
168,2014-07-08,00:00:00,197.35,197.5,195.76,196.51,849479,196.328,240403
169,2014-07-09,00:00:00,196.5,197.3,196.21,197.16,668662,196.836,187488
170,2014-07-10,00:00:00,196.97,197.12,195.04,196.17,883919,195.98,239404
171,2014-07-11,00:00:00,196.75,196.79,195.78,196.7,537164,196.286,151409
172,2014-07-14,00:00:00,196.9,197.86,196.9,197.58,483010,197.635,119877
173,2014-07-15,00:00:00,197.54,198.1,196.36,197.26,937206,197.257,239813
174,2014-07-16,00:00:00,197.5,198.26,197.21,197.66,677751,197.9,177545
175,2014-07-17,00:00:00,197.68,198.1,194.81,195.38,1300045,196.687,319951
176,2014-07-18,00:00:00,195.96,197.91,195.67,197.74,923533,197.112,221561
177,2014-07-21,00:00:00,197.51,197.61,196.43,197.08,604852,197.036,161139
178,2014-07-22,00:00:00,197.36,198.56,197.3,197.91,547790,198.237,153487
179,2014-07-23,00:00:00,198.14,198.85,198.1,198.62,539924,198.578,144343
180,2014-07-24,00:00:00,198.47,199.09,198.17,198.36,513790,198.749,152653
181,2014-07-25,00:00:00,198.51,198.54,197.33,197.58,699369,197.771,186072
182,2014-07-28,00:00:00,197.49,198.09,196.62,197.81,598098,197.446,165011
183,2014-07-29,00:00:00,197.58,198.45,196.7,196.97,711630,197.643,207002
184,2014-07-30,00:00:00,197.06,197.91,196.16,196.9,929367,196.983,289163
185,2014-07-31,00:00:00,196.61,196.97,192.9,193.37,1614154,194.193,417454
186,2014-08-01,00:00:00,193.03,193.76,191.57,192.34,1680254,192.628,482864
187,2014-08-04,00:00:00,192.99,194.3,192.05,193.66,820525,193.193,239249
188,2014-08-05,00:00:00,193.65,193.9,191.31,192.09,1259273,192.402,353600
189,2014-08-06,00:00:00,192.2,192.89,190.85,192.15,889316,192.122,285168
190,2014-08-07,00:00:00,192.27,193.13,190.55,191.21,1135128,191.674,340016
191,2014-08-08,00:00:00,189.94,193.37,189.61,193.01,1002861,192.224,297707
192,2014-08-11,00:00:00,193.51,194.66,193.1,193.97,679137,194.105,208945
193,2014-08-12,00:00:00,194.11,194.36,192.94,193.78,674289,193.527,204838
194,2014-08-13,00:00:00,194.23,195.2,193.57,195.01,597022,194.624,177047
195,2014-08-14,00:00:00,194.9,196.04,194.81,195.82,529569,195.44,152431
196,2014-08-15,00:00:00,196.03,196.65,194.31,195.84,1224041,195.502,366666
197,2014-08-18,00:00:00,196.25,197.52,195.74,197.47,645487,197.196,173794
